,Spot Checks,On Duty,Patrol,Standby,Traffic Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1: 00:00~02:00,Number of Polices：1 ['Police Office23'],"Number of Polices：3 ['Police Office1', 'Police Office5', 'Police Office15']","Number of Polices：4 ['Police Office6', 'Police Office9', 'Police Office20', 'Police Office21']","Number of Polices：4 ['Police Office8', 'Police Office12', 'Police Office14', 'Police Office24']","Number of Polices：3 ['Police Office2', 'Police Office13', 'Police Office17']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D1: 02:00~04:00,Number of Polices：1 ['Police Office21'],"Number of Polices：6 ['Police Office1', 'Police Office4', 'Police Office11', 'Police Office13', 'Police Office18', 'Police Office22']","Number of Polices：10 ['Police Office3', 'Police Office7', 'Police Office8', 'Police Office10', 'Police Office14', 'Police Office15', 'Police Office20', 'Police Office23', 'Police Office24', 'Police Office25']","Number of Polices：4 ['Police Office2', 'Police Office9', 'Police Office17', 'Police Office19']","Number of Polices：3 ['Police Office5', 'Police Office6', 'Police Office12']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D1: 04:00~06:00,Number of Polices：1 ['Police Office10'],"Number of Polices：2 ['Police Office3', 'Police Office18']","Number of Polices：2 ['Police Office7', 'Police Office19']","Number of Polices：2 ['Police Office4', 'Police Office25']","Number of Polices：2 ['Police Office11', 'Police Office22']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D1: 06:00~08:00,Number of Polices：1 ['Police Office5'],"Number of Polices：2 ['Police Office14', 'Police Office23']","Number of Polices：2 ['Police Office1', 'Police Office17']","Number of Polices：2 ['Police Office15', 'Police Office20']","Number of Polices：2 ['Police Office6', 'Police Office8']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D1: 08:00~10:00,Number of Polices：1 ['Police Office1'],"Number of Polices：3 ['Police Office15', 'Police Office16', 'Police Office22']","Number of Polices：2 ['Police Office5', 'Police Office18']","Number of Polices：2 ['Police Office10', 'Police Office11']","Number of Polices：2 ['Police Office14', 'Police Office25']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D1: 10:00~12:00,Number of Polices：1 ['Police Office16'],"Number of Polices：2 ['Police Office6', 'Police Office11']","Number of Polices：2 ['Police Office8', 'Police Office25']","Number of Polices：2 ['Police Office10', 'Police Office22']","Number of Polices：2 ['Police Office18', 'Police Office23']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D1: 12:00~14:00,Number of Polices：1 ['Police Office13'],"Number of Polices：2 ['Police Office9', 'Police Office12']","Number of Polices：2 ['Police Office1', 'Police Office2']","Number of Polices：2 ['Police Office23', 'Police Office24']","Number of Polices：2 ['Police Office15', 'Police Office21']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D1: 14:00~16:00,Number of Polices：1 ['Police Office19'],"Number of Polices：4 ['Police Office3', 'Police Office4', 'Police Office9', 'Police Office16']","Number of Polices：2 ['Police Office13', 'Police Office15']","Number of Polices：2 ['Police Office1', 'Police Office2']","Number of Polices：2 ['Police Office7', 'Police Office12']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D1: 16:00~18:00,Number of Polices：1 ['Police Office3'],"Number of Polices：2 ['Police Office19', 'Police Office20']","Number of Polices：2 ['Police Office17', 'Police Office21']","Number of Polices：2 ['Police Office7', 'Police Office16']","Number of Polices：2 ['Police Office4', 'Police Office24']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D1: 18:00~20:00,Number of Polices：1 ['Police Office20'],"Number of Polices：2 ['Police Office2', 'Police Office24']","Number of Polices：2 ['Police Office9', 'Police Office13']","Number of Polices：2 ['Police Office5', 'Police Office12']","Number of Polices：2 ['Police Office14', 'Police Office17']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
